idEnvio,nombreProd,idCamion,destino,kmRecorridos,tipoEntrega,costoEnvio
2,Licuadora,6,avellaneda,69,2,3525
14,Pendrive,1,avellaneda,43,1,4720
23,Plancha,1,avellaneda,82,2,4175
26,Pendrive,5,avellaneda,56,1,3220
36,Plancha,4,avellaneda,40,1,4420
37,Licuadora,5,avellaneda,37,1,4120
38,Pendrive,2,avellaneda,97,1,5270
40,Plancha,3,avellaneda,21,0,2350
45,Radio,7,avellaneda,97,2,4925
48,Pendrive,5,avellaneda,64,2,3275
52,Plancha,1,avellaneda,70,2,3575
55,Televisor,5,avellaneda,84,0,4450
63,Pendrive,6,avellaneda,45,2,4575
65,Pendrive,6,avellaneda,43,2,4375
82,Televisor,3,avellaneda,48,0,5050
86,Pendrive,2,avellaneda,97,2,4925
87,Radio,7,avellaneda,98,0,5150
100,Cocina,7,avellaneda,71,2,3625
101,Lavarropas,4,avellaneda,75,0,4000
104,Cocina,6,avellaneda,106,1,5720
118,Cocina,4,avellaneda,11,0,1350
124,Radio,6,avellaneda,32,2,3275
125,Cocina,5,avellaneda,72,0,3850
129,Lavarropas,3,avellaneda,21,0,2350
135,Plancha,6,avellaneda,120,1,6420
138,Plancha,7,avellaneda,114,0,5950
141,Pendrive,5,avellaneda,86,0,4550
151,Cocina,7,avellaneda,114,0,5950
158,Licuadora,6,avellaneda,81,0,4300
161,Lavarropas,5,avellaneda,114,2,5775
162,Pendrive,5,avellaneda,96,1,5220
168,Plancha,6,avellaneda,53,0,2900
169,Cocina,7,avellaneda,86,2,4375
173,Licuadora,7,avellaneda,23,2,2375
177,Plancha,3,avellaneda,10,2,1075
186,Televisor,2,avellaneda,22,0,2450
190,Plancha,2,avellaneda,55,1,3170
192,Licuadora,6,avellaneda,98,2,4975
197,Cocina,4,avellaneda,56,0,3050
199,Radio,7,avellaneda,90,2,4575
