idEnvio,nombreProd,idCamion,destino,kmRecorridos,tipoEntrega,costoEnvio
1,Pendrive,2,lanus,63,1,3570
3,Cocina,6,lanus,18,2,1875
17,Plancha,7,lanus,36,0,3850
25,Licuadora,7,lanus,74,2,3775
34,Lavarropas,7,lanus,100,1,5420
39,Lavarropas,7,lanus,113,1,6070
59,Licuadora,6,lanus,79,1,4370
61,Cocina,1,lanus,91,0,4800
66,Pendrive,2,lanus,43,0,4550
68,Licuadora,7,lanus,58,1,3320
69,Lavarropas,2,lanus,102,0,5350
73,Radio,2,lanus,43,2,4375
76,Pendrive,3,lanus,74,0,3950
105,Lavarropas,5,lanus,27,1,3120
109,Lavarropas,6,lanus,25,2,2575
112,Plancha,4,lanus,102,2,5175
116,Televisor,4,lanus,60,2,3075
123,Pendrive,5,lanus,27,1,3120
127,Plancha,5,lanus,81,1,4470
133,Cocina,1,lanus,49,1,5320
137,Televisor,4,lanus,51,2,2625
144,Plancha,4,lanus,61,2,3125
148,Pendrive,6,lanus,104,0,5450
155,Lavarropas,5,lanus,114,1,6120
156,Cocina,5,lanus,25,2,2575
157,Televisor,7,lanus,22,1,2620
159,Lavarropas,1,lanus,110,1,5920
172,Licuadora,1,lanus,79,2,4025
179,Televisor,2,lanus,102,0,5350
182,Licuadora,5,lanus,69,1,3870
184,Televisor,7,lanus,46,0,4850
196,Plancha,6,lanus,38,1,4220
